time_s,differential_output_v
0.0,-0.3807893
2e-14,-0.3807893
4e-14,-0.3807893
8e-14,-0.3807893
1.6e-13,-0.3807893
3.2e-13,-0.3807893
6.4e-13,-0.3807893
1.28e-12,-0.3807893
2.56e-12,-0.3807893
4.56e-12,-0.3807893
6.56e-12,-0.3807893
8.56e-12,-0.3807893
1.056e-11,-0.3807893
1.256e-11,-0.3807893
1.456e-11,-0.3807893
1.656e-11,-0.3807893
1.856e-11,-0.3807893
2.056e-11,-0.3807893
2.256e-11,-0.3807893
2.456e-11,-0.3807893
2.656e-11,-0.3807893
2.856e-11,-0.3807893
3.056e-11,-0.3807893
3.256e-11,-0.3807893
3.456e-11,-0.3807893
3.656e-11,-0.3807893
3.856e-11,-0.3807893
4.056e-11,-0.3807893
4.256e-11,-0.3807893
4.456e-11,-0.3807893
4.656e-11,-0.3807893
4.856e-11,-0.3807893
5.056e-11,-0.3807893
5.256e-11,-0.3807893
5.456e-11,-0.3807893
5.656e-11,-0.3807893
5.856e-11,-0.3807893
6.056e-11,-0.3807893
6.256e-11,-0.3807893
6.456e-11,-0.3807893
6.656e-11,-0.3807893
6.856e-11,-0.3807893
7.056e-11,-0.3807893
7.256e-11,-0.3807893
7.456e-11,-0.3807893
7.656e-11,-0.3807893
7.856e-11,-0.3807893
8.056e-11,-0.3807893
8.256e-11,-0.3807893
8.456e-11,-0.3807893
8.656e-11,-0.3807893
8.856e-11,-0.3807893
9.056e-11,-0.3807893
9.256e-11,-0.3807893
9.456e-11,-0.3807893
9.656e-11,-0.3807893
9.856e-11,-0.3807893
1.0056e-10,-0.3807893
1.0256e-10,-0.3807893
1.0456e-10,-0.3807893
1.0656e-10,-0.3807893
1.0856e-10,-0.3807893
1.1056e-10,-0.3807893
1.1256e-10,-0.3807893
1.1456e-10,-0.3807893
1.1656e-10,-0.3807893
1.1856e-10,-0.3807893
1.2056e-10,-0.3807893
1.2256e-10,-0.3807893
1.2456e-10,-0.3807893
1.2656e-10,-0.3807893
1.2856e-10,-0.3807893
1.3056e-10,-0.3807893
1.3256e-10,-0.3807893
1.3456e-10,-0.3807893
1.3656e-10,-0.3807893
1.3856e-10,-0.3807893
1.4056e-10,-0.3807893
1.4256e-10,-0.3807893
1.4456e-10,-0.3807893
1.4656e-10,-0.3807893
1.4856e-10,-0.3807893
1.5056e-10,-0.3807893
1.5256e-10,-0.3807893
1.5456e-10,-0.3807893
1.5656e-10,-0.3807893
1.5856e-10,-0.3807893
1.6056e-10,-0.3807893
1.6256e-10,-0.3807893
1.6456e-10,-0.3807893
1.6656e-10,-0.3807893
1.6856e-10,-0.3807893
1.7056e-10,-0.3807893
1.7256e-10,-0.3807893
1.7456e-10,-0.3807893
1.7656e-10,-0.3807893
1.7856e-10,-0.3807893
1.8056e-10,-0.3807893
1.8256e-10,-0.3807893
1.8456e-10,-0.3807893
1.8656e-10,-0.3807893
1.8856e-10,-0.3807893
1.9056e-10,-0.3807893
1.9256e-10,-0.3807893
1.9456e-10,-0.3807893
1.9656e-10,-0.3807893
1.9828e-10,-0.3807893
2e-10,-0.3807893
2.002e-10,-0.3807901
2.006e-10,-0.3807933
2.014e-10,-0.38081
2.03e-10,-0.3808739
2.05e-10,-0.38098180000000004
2.07e-10,-0.38108509999999995
2.09e-10,-0.3811491
2.11e-10,-0.3811447
2.13e-10,-0.381047
2.15e-10,-0.3808357
2.17e-10,-0.38049310000000003
2.19e-10,-0.3800049
2.21e-10,-0.3793594
2.23e-10,-0.3785469
2.25e-10,-0.3775596
2.27e-10,-0.37639159999999994
2.29e-10,-0.3750386
2.31e-10,-0.3734972999999999
2.33e-10,-0.37176580000000004
2.35e-10,-0.3698429999999999
2.37e-10,-0.3677290000000001
2.39e-10,-0.3654244
2.41e-10,-0.3629306
2.43e-10,-0.36024960000000006
2.45e-10,-0.35738380000000003
2.47e-10,-0.35433650000000005
2.49e-10,-0.35111079999999995
2.51e-10,-0.3477104
2.53e-10,-0.34413950000000004
2.55e-10,-0.3404022
2.57e-10,-0.336503
2.59e-10,-0.33244660000000004
2.61e-10,-0.3282376
2.63e-10,-0.3238810999999999
2.65e-10,-0.3193819
2.67e-10,-0.31474520000000006
2.69e-10,-0.30997589999999997
2.71e-10,-0.3050792
2.73e-10,-0.3000602
2.75e-10,-0.2949241
2.77e-10,-0.28967580000000004
2.79e-10,-0.28432040000000003
2.81e-10,-0.27886299999999997
2.83e-10,-0.27330850000000007
2.85e-10,-0.2676617
2.87e-10,-0.26192760000000004
2.89e-10,-0.256111
2.91e-10,-0.25021629999999995
2.93e-10,-0.24424829999999997
2.95e-10,-0.23821160000000008
2.97e-10,-0.2321105
2.99e-10,-0.2259492999999999
3.01e-10,-0.21973240000000005
3.03e-10,-0.21346369999999992
3.05e-10,-0.20714749999999993
3.07e-10,-0.2007875
3.09e-10,-0.1943878
3.11e-10,-0.187952
3.13e-10,-0.18148389999999992
3.15e-10,-0.17498689999999995
3.17e-10,-0.16846439999999996
3.19e-10,-0.16191999999999995
3.21e-10,-0.15535680000000007
3.23e-10,-0.14877790000000002
3.25e-10,-0.1421865000000001
3.27e-10,-0.13558559999999997
3.29e-10,-0.12897789999999998
3.31e-10,-0.12236639999999999
3.33e-10,-0.11575360000000001
3.35e-10,-0.10914219999999997
3.37e-10,-0.10253460000000003
3.39e-10,-0.0959335
3.41e-10,-0.089341
3.43e-10,-0.08275949999999999
3.45e-10,-0.07619110000000007
3.47e-10,-0.06963789999999992
3.49e-10,-0.06310199999999999
3.51e-10,-0.05658530000000006
3.53e-10,-0.050089599999999956
3.55e-10,-0.04361680000000001
3.57e-10,-0.037168700000000054
3.59e-10,-0.03074660000000007
3.61e-10,-0.024352600000000058
3.63e-10,-0.01798770000000005
3.65e-10,-0.011653799999999936
3.67e-10,-0.005352000000000023
3.69e-10,0.000916299999999981
3.71e-10,0.0071496999999999256
3.73e-10,0.013347200000000004
