timestep,reward,dc_valid,peaking_boost,power,eye_vertical_v,eye_horizontal_ui,all_specs_met,generation
1,19.16870173829367,True,3.7277111889203596,0.0019437660872354432,0.29221849999999994,0.76,True,1
2,-2.6372007879979655,True,1.474006461152923,0.0023999596358121656,0.08214659999999996,0.52,False,1
3,-2.196288314858098,True,1.4936048197454284,0.002289962433356005,0.15556330000000007,0.58,False,1
4,-3.8818900669197594,True,-0.836069919343327,0.0017191238447534921,0.006947600000000054,0.16,False,1
5,-3.6525803509757306,True,-0.31919235560073034,0.002386607855360498,0.0546374,0.3,False,1
6,-0.967782352026551,True,6.181036831117135,0.001810593504053103,0.2343786000000001,0.92,False,1
7,-4.04362761244456,True,-0.7081310778300889,0.0016151678396690615,nan,nan,False,1
8,-3.935711241388736,True,-1.1469421437818887,0.0011067943869228808,nan,nan,False,1
9,20.268198239419746,True,6.380388325449189,0.0015772672535267517,0.35017979999999993,0.9,True,2
10,-1.1265668168901282,True,3.616174189059892,0.0021128992337802566,0.23247070000000003,0.74,False,2
11,-1.0604019940578207,True,6.095996958533101,0.0021208039881156415,0.3862638,0.88,False,2
12,-2.640362118923008,True,0.9117181356785409,0.002143827071155519,0.08905419999999997,0.54,False,2
13,-2.55173264201138,True,-0.20263900305602256,0.0017373015296044596,0.13183040000000007,0.6,False,2
14,-1.1999979731750177,True,5.225048398166022,0.0023999959463500355,0.39753269999999996,0.86,False,2
15,-4.278699955849476,True,-1.0149377545235065,0.0018807747420166142,nan,nan,False,2
16,-3.433184720648976,True,-0.09759775337311716,0.0022444409580968257,0.04467779999999999,0.38,False,2
17,-1.1756458110247157,True,6.283118112014311,0.002351291622049431,0.3522041,0.82,False,3
18,-1.1465217689473122,True,7.108961164472799,0.0022930435378946245,0.2962368,0.82,False,3
19,-0.6164771307634778,True,5.49092737189784,0.0008122677472412418,0.21169990000000005,0.66,False,3
20,-0.7504541582529115,True,3.130175605258117,0.0014858819165058232,0.2481217,0.8,False,3
21,19.780247238321156,True,3.5009533846473406,0.001739917587226282,0.3093457,0.82,True,3
22,19.95836546957858,True,7.402489140452154,0.0016805448434738062,0.3525414,0.92,True,3
23,-1.1774892350513209,True,7.276687311521506,0.002354978470102642,0.35203029999999996,0.84,False,3
24,19.56551740757858,True,7.310092051348489,0.0017261080419857014,0.3399756,0.76,True,3
