time_s,differential_output_v
0.0,-0.3594207
1e-14,-0.3594207
2e-14,-0.3594207
4e-14,-0.3594207
8e-14,-0.3594207
1.6e-13,-0.3594207
3.2e-13,-0.3594207
6.4e-13,-0.3594207
1.28e-12,-0.3594207
2.28e-12,-0.3594207
3.28e-12,-0.3594207
4.28e-12,-0.3594207
5.28e-12,-0.3594207
6.28e-12,-0.3594207
7.28e-12,-0.3594207
8.28e-12,-0.3594207
9.28e-12,-0.3594207
1.028e-11,-0.3594207
1.128e-11,-0.3594207
1.228e-11,-0.3594207
1.328e-11,-0.3594207
1.428e-11,-0.3594207
1.528e-11,-0.3594207
1.628e-11,-0.3594207
1.728e-11,-0.3594207
1.828e-11,-0.3594207
1.928e-11,-0.3594207
2.028e-11,-0.3594207
2.128e-11,-0.3594207
2.228e-11,-0.3594207
2.328e-11,-0.3594207
2.428e-11,-0.3594207
2.528e-11,-0.3594207
2.628e-11,-0.3594207
2.728e-11,-0.3594207
2.828e-11,-0.3594207
2.928e-11,-0.3594207
3.028e-11,-0.3594207
3.128e-11,-0.3594207
3.228e-11,-0.3594207
3.328e-11,-0.3594207
3.428e-11,-0.3594207
3.528e-11,-0.3594207
3.628e-11,-0.3594207
3.728e-11,-0.3594207
3.828e-11,-0.3594207
3.928e-11,-0.3594207
4.028e-11,-0.3594207
4.128e-11,-0.3594207
4.228e-11,-0.3594207
4.328e-11,-0.3594207
4.428e-11,-0.3594207
4.528e-11,-0.3594207
4.628e-11,-0.3594207
4.728e-11,-0.3594207
4.828e-11,-0.3594207
4.928e-11,-0.3594207
5.028e-11,-0.3594207
5.128e-11,-0.3594207
5.228e-11,-0.3594207
5.328e-11,-0.3594207
5.428e-11,-0.3594207
5.528e-11,-0.3594207
5.628e-11,-0.3594207
5.728e-11,-0.3594207
5.828e-11,-0.3594207
5.928e-11,-0.3594207
6.028e-11,-0.3594207
6.128e-11,-0.3594207
6.228e-11,-0.3594207
6.328e-11,-0.3594207
6.428e-11,-0.3594207
6.528e-11,-0.3594207
6.628e-11,-0.3594207
6.728e-11,-0.3594207
6.828e-11,-0.3594207
6.928e-11,-0.3594207
7.028e-11,-0.3594207
7.128e-11,-0.3594207
7.228e-11,-0.3594207
7.328e-11,-0.3594207
7.428e-11,-0.3594207
7.528e-11,-0.3594207
7.628e-11,-0.3594207
7.728e-11,-0.3594207
7.828e-11,-0.3594207
7.928e-11,-0.3594207
8.028e-11,-0.3594207
8.128e-11,-0.3594207
8.228e-11,-0.3594207
8.328e-11,-0.3594207
8.428e-11,-0.3594207
8.528e-11,-0.3594207
8.628e-11,-0.3594207
8.728e-11,-0.3594207
8.828e-11,-0.3594207
8.928e-11,-0.3594207
9.028e-11,-0.3594207
9.128e-11,-0.3594207
9.228e-11,-0.3594207
9.328e-11,-0.3594207
9.428e-11,-0.3594207
9.528e-11,-0.3594207
9.628e-11,-0.3594207
9.728e-11,-0.3594207
9.828e-11,-0.3594207
9.928e-11,-0.3594207
1.0028e-10,-0.3594207
1.0128e-10,-0.3594207
1.0228e-10,-0.3594207
1.0328e-10,-0.3594207
1.0428e-10,-0.3594207
1.0528e-10,-0.3594207
1.0628e-10,-0.3594207
1.0728e-10,-0.3594207
1.0828e-10,-0.3594207
1.0928e-10,-0.3594207
1.1028e-10,-0.3594207
1.1128e-10,-0.3594207
1.1228e-10,-0.3594207
1.1328e-10,-0.3594207
1.1428e-10,-0.3594207
1.1528e-10,-0.3594207
1.1628e-10,-0.3594207
1.1728e-10,-0.3594207
1.1828e-10,-0.3594207
1.1928e-10,-0.3594207
1.2028e-10,-0.3594207
1.2128e-10,-0.3594207
1.2228e-10,-0.3594207
1.2328e-10,-0.3594207
1.2428e-10,-0.3594207
1.2528e-10,-0.3594207
1.2628e-10,-0.3594207
1.2728e-10,-0.3594207
1.2828e-10,-0.3594207
1.2928e-10,-0.3594207
1.3028e-10,-0.3594207
1.3128e-10,-0.3594207
1.3228e-10,-0.3594207
1.3328e-10,-0.3594207
1.3428e-10,-0.3594207
1.3528e-10,-0.3594207
1.3628e-10,-0.3594207
1.3728e-10,-0.3594207
1.3828e-10,-0.3594207
1.3928e-10,-0.3594207
1.4028e-10,-0.3594207
1.4128e-10,-0.3594207
1.4228e-10,-0.3594207
1.4328e-10,-0.3594207
1.4428e-10,-0.3594207
1.4528e-10,-0.3594207
1.4628e-10,-0.3594207
1.4728e-10,-0.3594207
1.4828e-10,-0.3594207
1.4928e-10,-0.3594207
1.5028e-10,-0.3594207
1.5128e-10,-0.3594207
1.5228e-10,-0.3594207
1.5328e-10,-0.3594207
1.5428e-10,-0.3594207
1.5528e-10,-0.3594207
1.5628e-10,-0.3594207
1.5728e-10,-0.3594207
1.5828e-10,-0.3594207
1.5928e-10,-0.3594207
1.6028e-10,-0.3594207
1.6128e-10,-0.3594207
1.6228e-10,-0.3594207
1.6328e-10,-0.3594207
1.6428e-10,-0.3594207
1.6528e-10,-0.3594207
1.6628e-10,-0.3594207
1.6728e-10,-0.3594207
1.6828e-10,-0.3594207
1.6928e-10,-0.3594207
1.7028e-10,-0.3594207
1.7128e-10,-0.3594207
1.7228e-10,-0.3594207
1.7328e-10,-0.3594207
1.7428e-10,-0.3594207
1.7528e-10,-0.3594207
1.7628e-10,-0.3594207
1.7728e-10,-0.3594207
1.7828e-10,-0.3594207
1.7928e-10,-0.3594207
1.8028e-10,-0.3594207
1.8128e-10,-0.3594207
1.8228e-10,-0.3594207
1.8328e-10,-0.3594207
1.8428e-10,-0.3594207
1.8528e-10,-0.3594207
1.8628e-10,-0.3594207
1.8728e-10,-0.3594207
1.8828e-10,-0.3594207
1.8928e-10,-0.3594207
1.9028e-10,-0.3594207
1.9128e-10,-0.3594207
1.9228e-10,-0.3594207
1.9328e-10,-0.3594207
1.9428e-10,-0.3594207
1.9528e-10,-0.3594207
1.9628e-10,-0.3594207
1.9728e-10,-0.3594207
1.9828e-10,-0.3594207
1.9928e-10,-0.3594207
2e-10,-0.3594207
2.001e-10,1.06261118
2.003e-10,1.06221155
2.007e-10,1.0614194499999998
2.015e-10,1.0598388300000001
2.025e-10,1.05785946
2.035e-10,1.05587893
2.045e-10,1.05389532
2.055e-10,1.05190966
2.065e-10,1.04992301
2.075e-10,1.04793341
2.085e-10,1.0459429100000002
2.095e-10,1.04394956
2.105e-10,1.04195538
2.115e-10,1.03995944
2.125e-10,1.03796175
2.135e-10,1.0359633700000002
