evaluation,score,dc_valid,peaking_boost,power
1,-0.5423507183734845,True,7.9583507183734845,0.0012599999999999998
2,-0.2249544939925438,True,7.678954493992544,0.00069
3,-100.0,False,,
4,-4.965540824146133,True,2.6603634007711356,0.0018885633737590413
5,-100.0,False,,
6,-2.1098841878446155,True,5.436855989478811,0.0007011026598514041
7,-4.390007306374687,True,11.761522694654197,0.001927269175807357
8,-7.599443833450397,True,0.00166218639910376,0.00151659029774251
9,-3.3193294772980906,True,10.671919975772777,0.0022111425228797032
10,-100.0,False,,
11,-100.0,False,,
12,-2.908310377838347,True,10.322822174738347,0.001282323046500005
13,-2.8557006717005935,True,10.265446810851367,0.0013538079127383945
14,-100.0,False,,
15,-1.609683509672556,True,9.044007691596908,0.0009851372711347124
16,-5.347576933089107,True,2.263243503970436,0.0016623065558931571
17,-100.0,False,,
18,-3.2592240499505465,True,4.381635658024178,0.0021128956196208703
19,-3.521749000902969,True,4.123646350902812,0.002180930277086713
20,-4.573399112687156,True,3.018554513438268,0.0013793043918813614
21,-3.3685010032627076,True,4.19669474782904,0.000977936266376218
22,-3.803566498494129,True,3.7755284944616134,0.001186424894336139
23,-100.0,False,,
24,-3.0861187996692805,True,10.51302932221808,0.0010963421617680173
